h;error
0.000001388000000;0.000000000003439
0.000001389000000;0.000000000003535
0.000001390000000;0.000000000003630
0.000001391000000;0.000000000003758
0.000001392000000;0.000000000003657
0.000001393000000;0.000000000001066
0.000001394000000;0.000000000000968
0.000001395000000;0.000000000000870
0.000001396000000;0.000000000001713
0.000001397000000;0.000000000001809
0.000001398000000;0.000000000001905
0.000001399000000;0.000000000004481
0.000001400000000;0.000000000004575
0.000001401000000;0.000000000005237
0.000001402000000;0.000000000002662
0.000001403000000;0.000000000002563
0.000001404000000;0.000000000002464
0.000001405000000;0.000000000002366
0.000001406000000;0.000000000000200
0.000001407000000;0.000000000000297
0.000001408000000;0.000000000002857
0.000001409000000;0.000000000002952
0.000001410000000;0.000000000003046
0.000001411000000;0.000000000003140
0.000001412000000;0.000000000004137
0.000001413000000;0.000000000004038
0.000001414000000;0.000000000003939
0.000001415000000;0.000000000001388
0.000001416000000;0.000000000001159
0.000001417000000;0.000000000001254
0.000001418000000;0.000000000001349
0.000001419000000;0.000000000001444
0.000001420000000;0.000000000003982
0.000001421000000;0.000000000004074
0.000001422000000;0.000000000004167
0.000001423000000;0.000000000003055
0.000001424000000;0.000000000002957
0.000001425000000;0.000000000002860
0.000001426000000;0.000000000002762
0.000001427000000;0.000000000002665
0.000001428000000;0.000000000000139
0.000001429000000;0.000000000002385
0.000001430000000;0.000000000002478
0.000001431000000;0.000000000002571
0.000001432000000;0.000000000002664
0.000001433000000;0.000000000005178
0.000001434000000;0.000000000004408
0.000001435000000;0.000000000001893
0.000001436000000;0.000000000001797
0.000001437000000;0.000000000001701
0.000001438000000;0.000000000001605
0.000001439000000;0.000000000001509
0.000001440000000;0.000000000000995
0.000001441000000;0.000000000003497
0.000001442000000;0.000000000003588
0.000001443000000;0.000000000003680
0.000001444000000;0.000000000003436
0.000001445000000;0.000000000003340
0.000001446000000;0.000000000000844
0.000001447000000;0.000000000000750
0.000001448000000;0.000000000000655
0.000001449000000;0.000000000000561
0.000001450000000;0.000000000000467
0.000001451000000;0.000000000002018
0.000001452000000;0.000000000002110
0.000001453000000;0.000000000002202
0.000001454000000;0.000000000004681
0.000001455000000;0.000000000004767
0.000001456000000;0.000000000002288
0.000001457000000;0.000000000002193
0.000001458000000;0.000000000002098
0.000001459000000;0.000000000002004
0.000001460000000;0.000000000001909
0.000001461000000;0.000000000000560
0.000001462000000;0.000000000000653
0.000001463000000;0.000000000003116
0.000001464000000;0.000000000003207
0.000001465000000;0.000000000005666
0.000001466000000;0.000000000003712
0.000001467000000;0.000000000003616
0.000001468000000;0.000000000003521
0.000001469000000;0.000000000003426
0.000001470000000;0.000000000000972
0.000001471000000;0.000000000000878
0.000001472000000;0.000000000001571
0.000001473000000;0.000000000001663
0.000001474000000;0.000000000004107
0.000001475000000;0.000000000004197
0.000001476000000;0.000000000005116
0.000001477000000;0.000000000005021
0.000001478000000;0.000000000002578
0.000001479000000;0.000000000002484
0.000001480000000;0.000000000002391
0.000001481000000;0.000000000000045
0.000001482000000;0.000000000002478
0.000001483000000;0.000000000002568
0.000001484000000;0.000000000002658
0.000001485000000;0.000000000005084
0.000001486000000;0.000000000002837
0.000001487000000;0.000000000004073
0.000001488000000;0.000000000003979
0.000001489000000;0.000000000003885
0.000001490000000;0.000000000001463
0.000001491000000;0.000000000001370
0.000001492000000;0.000000000001278
0.000001493000000;0.000000000001137
0.000001494000000;0.000000000001227
0.000001495000000;0.000000000001318
0.000001496000000;0.000000000001408
0.000001497000000;0.000000000003815
0.000001498000000;0.000000000003045
0.000001499000000;0.000000000002952
0.000001500000000;0.000000000002860
0.000001501000000;0.000000000000456
0.000001502000000;0.000000000000365
0.000001503000000;0.000000000000274
0.000001504000000;0.000000000002123
0.000001505000000;0.000000000002212
0.000001506000000;0.000000000002301
0.000001507000000;0.000000000004692
0.000001508000000;0.000000000004779
0.000001509000000;0.000000000004331
0.000001510000000;0.000000000004238
0.000001511000000;0.000000000001849
0.000001512000000;0.000000000001758
0.000001513000000;0.000000000001667
0.000001514000000;0.000000000000715
0.000001515000000;0.000000000000804
0.000001516000000;0.000000000000894
0.000001517000000;0.000000000003270
0.000001518000000;0.000000000003357
0.000001519000000;0.000000000003408
0.000001520000000;0.000000000003316
0.000001521000000;0.000000000000944
0.000001522000000;0.000000000000854
0.000001523000000;0.000000000003042
0.000001524000000;0.000000000000674
0.000001525000000;0.000000000000585
0.000001526000000;0.000000000000495
0.000001527000000;0.000000000001866
0.000001528000000;0.000000000001954
0.000001529000000;0.000000000004311
0.000001530000000;0.000000000002406
0.000001531000000;0.000000000002316
0.000001532000000;0.000000000002226
0.000001533000000;0.000000000002135
0.000001534000000;0.000000000002045
0.000001535000000;0.000000000000305
0.000001536000000;0.000000000000393
0.000001537000000;0.000000000000481
0.000001538000000;0.000000000002825
0.000001539000000;0.000000000002911
0.000001540000000;0.000000000002998
0.000001541000000;0.000000000003670
0.000001542000000;0.000000000003580
0.000001543000000;0.000000000003489
0.000001544000000;0.000000000001152
0.000001545000000;0.000000000001063
0.000001546000000;0.000000000001270
0.000001547000000;0.000000000001357
